"Title";"URL";"tag01";"tag02";"Tag03";"Tag04";"Tag05";"Tag06";"Tag07";"Tag08";"Tag09";"Tag10";"Tag11";"Tag12";"Tag13";"Tag14";"Tag15";"Tag16";"Tag17";"Tag18";"Tag19";"Tag20"
"Occupy Berkeley ";"http://occupyberkeley.org/feed/ ";"berkeley";"california";"usa ";;;;;;;;;;;;;;;;;
"Occupy Birmingham ";"http://occupybirmingham.org/feed/rss/ ";"alabama";"birmingham";"usa ";;;;;;;;;;;;;;;;;
"Occupy Boise ";"http://occupyboise.org/feed ";"boise";"idaho";"usa ";;;;;;;;;;;;;;;;;
"Occupy Boston ";"http://www.occupyboston.org/feed/ ";"boston";"massachusetts";"usa ";;;;;;;;;;;;;;;;;
"Occupy Boulder ";"http://occupyboulder.org/feed/ ";"boulder";"colorado";"usa ";;;;;;;;;;;;;;;;;
"Occupy Brooklyn ";"http://occupybk.org/feed/ ";"brooklyn";"new york";"usa ";;;;;;;;;;;;;;;;;
"Occupy Buffalo ";"http://www.occupybuffalo.org/feed ";"buffalo";"new york";"usa ";;;;;;;;;;;;;;;;;
"Occupy Carbondale ";"http://occupycarbondale.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Champaign-Urbana ";"http://occupycu.org/comments/feed ";"champaign-urbana";"illinois";"usa ";;;;;;;;;;;;;;;;;
"Occupy Chattanooga ";"http://occupycha.tumblr.com/rss ";"chattanooga";"tennessee";"usa ";;;;;;;;;;;;;;;;;
"Occupy Chicago ";"http://occupychi.org/home/feed ";"chicago ";;;;;;;;;;;;;;;;;;;
"Occupy Chico ";"http://occupychico.com/feed/ ";"california";"chico";"usa ";;;;;;;;;;;;;;;;;
"Occupy Cleveland ";"http://occupycleveland.com/feed/rss/ ";"cleveland";"ohio";"usa ";;;;;;;;;;;;;;;;;
"Occupy Colorado Springs ";"http://www.occupycs.org/?feed=rss2 ";;;;;;;;;;;;;;;;;;;;
"Occupy Columbus ";"http://www.occupycolumbus.org/activity/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Contra Costa ";"http://www.contracosta99.org/feed/ ";"california";"contra costa";"usa ";;;;;;;;;;;;;;;;;
"Occupy Corvallis ";"http://www.owscorvallis.com/mainstreet/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Dallas ";"http://occupydallas.org/feed ";"dallas";"texas";"usa ";;;;;;;;;;;;;;;;;
"Occupy Dame Street ";"http://www.occupydamestreet.org/?feed=rss2 ";"dublin";"ireland ";;;;;;;;;;;;;;;;;;
"Occupy Davis ";"http://occupydavis.org/feed/ ";"california";"davis";"usa ";;;;;;;;;;;;;;;;;
"Occupy DC ";"http://occupydc.org/feed/ ";"dc";"district of columbia";"usa ";;;;;;;;;;;;;;;;;
"Occupy Delaware ";"http://www.occupyde.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Denton ";"http://occupydenton.wordpress.com/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Denver ";"http://occupydenver.org/feed/ ";"colorado";"denver";"usa ";;;;;;;;;;;;;;;;;
"Occupy Des Moines ";"http://portal.occupydsm.org/index.php?format=feed&type=rss ";"des moines";"iowa";"usa ";;;;;;;;;;;;;;;;;
"Occupy Detroit ";"http://feeds.feedburner.com/OccupyDetroit ";"detroit";"michigan";"usa ";;;;;;;;;;;;;;;;;
"Occupy Durham ";"http://occupydurham.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Edmonton ";"http://occupyedmonton.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy El Paso ";"http://occupyelpaso.org/local-info.feed?type=rss ";"el paso";"texas";"usa ";;;;;;;;;;;;;;;;;
"Occupy Eugene ";"http://occupyeugenemedia.org/feed/ ";"eugene";"oregon";"usa ";;;;;;;;;;;;;;;;;
"Occupy Farms ";"http://occupyfarms.nycga.net/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Flagstaff ";"http://occupyflagstaff.org/index.php?format=feed&type=rss ";"arizona";"flagstaff";"usa ";;;;;;;;;;;;;;;;;
"Occupy Fresno ";"http://occupyfresnoca.com/feed/ ";"california";"fresno";"usa ";;;;;;;;;;;;;;;;;
"Occupy Gainesville ";"http://www.occupygainesville.org/rss.xml ";;;;;;;;;;;;;;;;;;;;
"Occupy Galveston ";"http://occupygalveston.wordpress.com/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Greensboro ";"http://occupygreensboro.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Harrisonburg ";"http://occupyhburg.wordpress.com/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Hartford ";"http://occupyhartfordct.com/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Honolulu ";"http://www.deoccupyhonolulu.org/apps/blog/entries/feed/rss ";"hawaii";"honolulu";"usa ";;;;;;;;;;;;;;;;;
"Occupy Houston ";"http://occupyhouston.org/feed/ ";"houston";"texas";"usa ";;;;;;;;;;;;;;;;;
"Occupy Huntsville ";"http://occupyhuntsville.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Indiana ";"http://occupyindiana.org/feed/ ";"indiana";"usa ";;;;;;;;;;;;;;;;;;
"Occupy Iowa City ";"http://occupyiowacity.org/rss.xml ";;;;;;;;;;;;;;;;;;;;
"Occupy Jacksonville ";"http://occupy-jax.org/feed/ ";"florida";"jacksonville";"usa ";;;;;;;;;;;;;;;;;
"Occupy Kelowna ";"http://occupykelowna.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Las Vegas ";"http://occupylasvegas.org/?feed=rss2 ";"las vegas";"nevada";"usa ";;;;;;;;;;;;;;;;;
"Occupy Lawrence ";"http://occupylawrence.org/?feed=rss2 ";;;;;;;;;;;;;;;;;;;;
"Occupy Lexington ";"http://www.occupylexingtonky.org/?feed=rss2 ";;;;;;;;;;;;;;;;;;;;
"Occupy Lincoln ";"http://www.occupylincoln.net/feed/rss/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Little Rock ";"http://occupylr.com/blog/?feed=rss2 ";;;;;;;;;;;;;;;;;;;;
"Occupy Los Angeles ";"http://occupylosangeles.org/?q=rss.xml ";"california";"los angeles";"usa ";;;;;;;;;;;;;;;;;
"Occupy Louisville ";"http://occupylouisville.org/feed/ ";"kentucky";"louisville";"usa ";;;;;;;;;;;;;;;;;
"Occupy Lubbock ";"http://occupylubbock.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Maine ";"http://www.occupymaine.com/feed ";"maine";"usa ";;;;;;;;;;;;;;;;;;
"Occupy McAllen ";"http://occupymcallen.org/feed/ ";"mcallen";"texas";"usa ";;;;;;;;;;;;;;;;;
"Occupy Medford ";"http://feeds.feedburner.com/occupymedfordoregon/AdYX ";;;;;;;;;;;;;;;;;;;;
"Occupy Memphis ";"http://occupymemphis.org/index.php/blog/itemlist?format=feed&moduleID=67 ";"memphis";"tennessee";"usa ";;;;;;;;;;;;;;;;;
"Occupy Miami ";"http://occupymia.org/feed/ ";"florida";"miami";"usa ";;;;;;;;;;;;;;;;;
"Occupy Minneapolis ";"http://www.occupymn.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Missoula ";"http://occupymissoula.wordpress.com/feed/ ";"missoula";"missouri";"usa ";;;;;;;;;;;;;;;;;
"Occupy Mobile ";"http://www.occupymobile.org/activity/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Mobile ";"http://www.occupymobile.org/feed ";"alabama";"mobile";"usa ";;;;;;;;;;;;;;;;;
"Occupy Moncton ";"http://occupymoncton.tumblr.com/rss ";;;;;;;;;;;;;;;;;;;;
"Occupy Montgomery ";"http://occupymontgomery.org/?feed=rss2 ";"alabama";"montgomery";"usa ";;;;;;;;;;;;;;;;;
"Occupy Montreal ";"http://www.occupons-montreal.org/?feed=rss2 ";;;;;;;;;;;;;;;;;;;;
"Occupy Nashville ";"http://occupynashville.org/feed/ ";"nashville";"tennessee ";;;;;;;;;;;;;;;;;;
"Occupy New Hampshire ";"http://occupynewhampshire.org/feed/ ";"new hampshire";"usa ";;;;;;;;;;;;;;;;;;
"Occupy New Jersey ";"http://www.occupynewjersey.org/ ";"new jersey";"usa ";;;;;;;;;;;;;;;;;;
"Occupy New Orleans ";"http://occupynola.org/?feed=rss2 ";"louisiana";"new orleans";"usa ";;;;;;;;;;;;;;;;;
"Occupy New York State ";"http://www.occupynewyorkstate.org/feeds/posts/default?alt=rss ";;;;;;;;;;;;;;;;;;;;
"Occupy Norfolk ";"http://occupynorfolk.com/feed/ ";"norfolk";"usa";"virginia ";;;;;;;;;;;;;;;;;
"Occupy Northampton ";"http://occupynorthampton.com/?feed=rss2 ";"massachusetts";"northampton";"usa ";;;;;;;;;;;;;;;;;
"Occupy Oakland ";"http://www.occupyoakland.org/feed/ ";"california";"oakland";"usa ";;;;;;;;;;;;;;;;;
"Occupy Ocala ";"http://www.occupyocala.com/feed/ ";"florida";"ocala";"usa ";;;;;;;;;;;;;;;;;
"Occupy Oklahoma City ";"http://occupyokc.com/index.php?format=feed&type=rss ";"oklahoma";"oklahoma city";"usa ";;;;;;;;;;;;;;;;;
"Occupy Olympia ";"http://occupyolympia.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Omaha ";"http://www.occupyomaha.info/?feed=rss2 ";;;;;;;;;;;;;;;;;;;;
"Occupy Orange County Irvine ";"http://www.occupy-oc.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Orlando ";"http://www.occupyorlando.org/feed/ ";"florida";"orlando";"usa ";;;;;;;;;;;;;;;;;
"Occupy Pasadena ";"http://www.occupypasadena.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Peoria ";"http://occupypeoria.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Petaluma ";"http://www.occupypetaluma.com/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Philly ";"http://occupyphilly.org/feed/ ";"pennsylvania";"philadelphia";"usa ";;;;;;;;;;;;;;;;;
"Occupy Phoenix ";"http://occupyphx.org/feed/ ";"arizona";"phoenix";"usa ";;;;;;;;;;;;;;;;;
"Occupy Portland ";"http://occupyportland.org/feed/ ";"oregon";"portland";"usa ";;;;;;;;;;;;;;;;;
"Occupy Providence ";"http://www.occupyprovidence.com/feed/ ";"providence";"rhode island";"usa ";;;;;;;;;;;;;;;;;
"Occupy Queens ";"http://www.occupyqueens.net/feed/ ";"new york";"queens";"usa ";;;;;;;;;;;;;;;;;
"Occupy Raleigh ";"http://www.occupyraleigh.org/feed/ ";"north carolina";"raleigh";"usa ";;;;;;;;;;;;;;;;;
"Occupy Redding ";"http://feeds.feedburner.com/occupyredding/RQIO?format=xml ";;;;;;;;;;;;;;;;;;;;
"Occupy Redlands ";"http://www.occupyredlands.org/feeds/posts/default?alt=rss ";;;;;;;;;;;;;;;;;;;;
"Occupy Redwood City ";"http://www.occupyredwoodcity.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Richmond ";"http://occupyrva.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Riverside ";"http://www.occupyriverside.org/wordpress/feed ";"california";"riverside";"usa ";;;;;;;;;;;;;;;;;
"Occupy Roanoke ";"http://occupyroanokeva.com/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Rochester ";"http://occupyrochester.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Sacramento ";"http://occupysac.com/?feed=rss2 ";"california";"sacramento";"usa ";;;;;;;;;;;;;;;;;
"Occupy Saint Paul ";"http://www.occupysaintpaul.org/feed ";;;;;;;;;;;;;;;;;;;;
"Occupy Salem ";"http://www.osoga.com/feed ";;;;;;;;;;;;;;;;;;;;
"Occupy Salem, OR ";"http://www.osoga.com/feed ";"oregon";"salem";"usa ";;;;;;;;;;;;;;;;;
"Occupy Salt Lake City ";"http://occupyslc.org/ ";"salt lake city";"use";"utah ";;;;;;;;;;;;;;;;;
"Occupy San Antonio ";"http://news.anon210.com/?feed=rss2 ";"san antonio";"texas";"usa ";;;;;;;;;;;;;;;;;
"Occupy San Diego ";"http://occupysandiego.org/ ";"california";"san diego";"usa ";;;;;;;;;;;;;;;;;
"Occupy San Francisco ";"http://occupysf.com/index.php?format=feed&type=rss ";"california";"san francisco";"usa ";;;;;;;;;;;;;;;;;
"Occupy San Jose ";"http://occupysj.org/?feed=rss2 ";"california";"san jose";"usa ";;;;;;;;;;;;;;;;;
"Occupy San Luis Obispo ";"http://www.occupyslo.org/feed/rss/blog?format=feed ";"california";"san luis obispo";"usa ";;;;;;;;;;;;;;;;;
"Occupy Santa Barbara ";"http://occupysb.org/feed/ ";"california";"santa barbara";"usa ";;;;;;;;;;;;;;;;;
"Occupy Santa Cruz ";"http://occupysantacruz.org/feed/ ";"california";"santa cruz";"usa ";;;;;;;;;;;;;;;;;
"Occupy Santa Fe ";"http://occupysantafenm.org/?feed=rss2 ";"new mexico";"santa fe";"usa ";;;;;;;;;;;;;;;;;
"Occupy Santa Rosa ";"http://www.occupysantarosa.org/?feed=rss2 ";;;;;;;;;;;;;;;;;;;;
"Occupy Sarasota ";"http://occupysarasota.com/feed/ ";"florida";"sarasota";"usa ";;;;;;;;;;;;;;;;;
"Occupy Saskatoon ";"http://www.occupysaskatoon.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Seattle ";"http://occupyseattle.org/rss.xml ";"seattle";"usa";"washington ";;;;;;;;;;;;;;;;;
"Occupy Sioux Falls ";"http://occupysiouxfallssd.com/?feed=rss2 ";;;;;;;;;;;;;;;;;;;;
"Occupy South Bend ";"http://southbend.occupyindiana.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Space Coast ";"http://www.occupyspacecoast.org/?feed=rss2 ";;;;;;;;;;;;;;;;;;;;
"Occupy Spokane ";"http://occupyspokane.us/?feed=rss2 ";"spokane";"usa";"washington ";;;;;;;;;;;;;;;;;
"Occupy Springfield ";"http://www.occupyspringfieldil.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy St. Louis ";"http://www.occupystl.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy St. Pete ";"http://www.occupystpete.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Sydney ";"http://www.occupysydney.org.au/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Syracusa ";"http://www.occupysyracuse.org/ ";"new york";"syracuse";"usa ";;;;;;;;;;;;;;;;;
"Occupy Tampa ";"http://occupytampa.org/home/activity/feed/ ";"florida";"tampa";"usa ";;;;;;;;;;;;;;;;;
"Occupy The Hamptons ";"http://occupythehamptons.org/activity/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy the SEC ";"http://occupythesec.nycga.net/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Toledo ";"http://www.occupytoledo.org/rss.xml ";;;;;;;;;;;;;;;;;;;;
"Occupy Topeka ";"http://www.occupytopekaks.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Toronto ";"http://occupyto.org/feed/ ";"canada";"ontario";"toronto ";;;;;;;;;;;;;;;;;
"Occupy Traverse City ";"http://www.occupytraversecity.org/?feed=rss2 ";;;;;;;;;;;;;;;;;;;;
"Occupy Tri-Cities ";"http://occupytricities.org/feed/ ";"tri-cities";"usa";"washington ";;;;;;;;;;;;;;;;;
"Occupy Tucson ";"http://occupytucson.org/?feed=rss2 ";"arizona";"tucson";"usa ";;;;;;;;;;;;;;;;;
"Occupy Tulsa ";"http://occupytulsa.com/feed ";;;;;;;;;;;;;;;;;;;;
"Occupy Tuscaloosa ";"http://occupytuscaloosa.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy University ";"http://university.nycga.net/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Vancouver ";"http://www.occupyvancouverusa.org/activity/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Venice ";"http://occupyvenice.org/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Vermont ";"http://occupyvermont.wordpress.com/feed/ ";"usa";"vermont ";;;;;;;;;;;;;;;;;;
"Occupy Victoria ";"http://occupyvictoria.ca/feed/ ";;;;;;;;;;;;;;;;;;;;
"Occupy Wall Street Archives ";"http://archives.nycga.net/feed ";;;;;;;;;;;;;;;;;;;;
"Occupy Wall Street Info ";"http://info.nycga.net/feed ";;;;;;;;;;;;;;;;;;;;
"Occupy Wall Street People's Library ";"http://peopleslibrary.wordpress.com/feed/ ";"library";"people's library";"owslibrary";;;;;;;;;;;;;;;;;
"Occupy Winston-Salem ";"http://occupywinstonsalem.org/feed/ ";"north carolina";"usa";"winston-salem ";;;;;;;;;;;;;;;;;
"Occupy Worcester ";"http://www.occupyworcester.net/index.php/home?format=feed ";;;;;;;;;;;;;;;;;;;;
"Occupy Yakima ";"http://occupyyakima.blogspot.com/feeds/posts/default ";;;;;;;;;;;;;;;;;;;;
"Outreach ";"http://outreach.nycga.net/feed/ ";"outreach ";;;;;;;;;;;;;;;;;;;
"OWS en Español ";"http://owsenespanol.nycga.net/feed/ ";"espanol";"spanish ";;;;;;;;;;;;;;;;;;
"OWS Translation ";"http://translation.nycga.net/?feed=rss2 ";"translation ";;;;;;;;;;;;;;;;;;;
"Press Relations Working Group ";"http://press.nycga.net/feed/ ";;;;;;;;;;;;;;;;;;;;
"Screen Printing Guild ";"http://screenprintingguild.nycga.net/feed/ ";"arts & culture";"screen printing ";;;;;;;;;;;;;;;;;;
"Sustainability ";"http://sustainability.nycga.net/feed/ ";"sustainability ";;;;;;;;;;;;;;;;;;;
"Tech Operations - #occupywallstreet ";"http://tech.nycga.net/feed/ ";"technology";"new york";"new york city ";;;;;;;;;;;;;;;;;
"Trade Justice ";"http://tradejustice.nycga.net/feed/ ";"economics";"justice ";;;;;;;;;;;;;;;;;;
"Vision and Goals ";"http://visionandgoals.nycga.net/feed ";;;;;;;;;;;;;;;;;;;;
"Volunteer Services ";"http://volunteer.nycga.net/feed/ ";;;;;;;;;;;;;;;;;;;;
"West Park Presbyterian Housing Community ";"http://westparkpresbyterianhousingcommunity.nycga.net/feed/ ";"housing ";;;;;;;;;;;;;;;;;;;
"WON - Women Occupying Nations ";"http://won.nycga.net/feed/ ";;;;;;;;;;;;;;;;;;;;
